ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
65,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MMAL-2024-2697.jpg,won,691481,(+ 71388),M. MALLESH BABU,Janata Dal  (Secular)
66,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GOUTH-2024-3600.jpg,lost,620093,( -71388),K V GOWTHAM,Indian National Congress
67,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUMAN-2024-20240408023201.jpg,lost,6487,( -684994),SUMAN H N,Independent
68,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SRINI-2024-3655.jpg,lost,6163,( -685318),HOLUR SRINIVASA,Independent
69,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SURES-2024-3053.jpg,lost,4732,( -686749),S B SURESHA,Bahujan Samaj Party
70,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KRDEV-2024-3942.jpg,lost,4597,( -686884),K R DEVARAJA,Delhi Janta Party
71,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MVENK-2024-3111.jpg,lost,3354,( -688127),DR M. VENKATASWAMY,Independent
72,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RANJI-2024-20240403011519.jpg,lost,2118,( -689363),R RANJITHKUMAR,Independent
73,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SNNAR-2024-3844.jpg,lost,1985,( -689496),S N NARAYANASWAMY V,Independent
74,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DGOPA-2024-3012.jpg,lost,1669,( -689812),D GOPALAKRISHNA,Socialist Party (India)
75,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DEVAR-2024-2797.jpg,lost,1354,( -690127),DEVARAJA A ALUSURUDINNE,Uttama Prajaakeeya Party
76,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MSBAD-2024-3808.jpg,lost,1116,( -690365),M S BADARINARAYANA,Independent
77,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAHES-2024-2444.jpg,lost,1065,( -690416),MAHESH A V,Karnataka Rashtra Samithi
78,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/THIMM-2024-20240408024755.jpg,lost,864,( -690617),THIMMARAYAPPA,Republican Party of India (Karnataka)
79,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RRAJE-2024-3509.jpg,lost,751,( -690730),R RAJENDRA,Independent
80,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MMUNI-2024-3432.jpg,lost,604,( -690877),M MUNIGANGAPPA,Independent
81,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MCHAL-2024-20240408024820.jpg,lost,521,( -690960),M  C HALLI VENU,Viduthalai Chiruthaigal Katchi
82,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KRISH-2024-3897.jpg,lost,443,( -691038),KRISHNAIAH N,Independent
83,Karnataka,Kolar(28),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,5831,( -685650),NOTA,None of the Above
388,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HDK-2024-20240408044241.jpg,won,851881,(+ 284620),H.D. KUMARASWAMY,Janata Dal  (Secular)
389,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VENKA-2024-20240408060327.jpg,lost,567261,( -284620),VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress
390,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CHAND-2024-20240408044826.jpg,lost,12394,( -839487),CHANDAN GOWDA. K,Independent
391,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHIVA-2024-20240408044354.jpg,lost,6964,( -844917),SHIVASHANKARA. S,Bahujan Samaj Party
392,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAMAI-2024-20240408045007.jpg,lost,3810,( -848071),RAMAIAH. D,Independent
393,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RANJI-2024-20240408045025.jpg,lost,2909,( -848972),RANJITHA. N,Independent
394,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CHAND-2024-20240408044418.jpg,lost,1476,( -850405),CHANDRASHEKARA. K.R (CHANDRU KEELARA),Karnataka Rashtra Samithi
395,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BUDAY-2024-20240408050827.jpg,lost,1370,( -850511),BUDAYYA. B.P,Karunaadu Party
396,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/LOKES-2024-20240408044712.jpg,lost,1163,( -850718),LOKESHA. S (AARYA LOKESH),Uttama Prajaakeeya Party
397,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BEERE-2024-2607.jpg,lost,931,( -850950),BEERESH. C.T (SAINIKA BEERESH),Independent
398,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NBAS-2024-20240408044850.jpg,lost,843,( -851038),N.BASAVARAJU,Independent
399,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HDR-2024-20240409015209.jpg,lost,590,( -851291),H.D. REVANNA,Purvanchal Mahapanchayat
400,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CHANN-2024-20240408044806.jpg,lost,497,( -851384),CHANNAMAYIGOWDA,Independent
401,Karnataka,Mandya(20),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SARV-2024-20240408044743.jpg,lost,442,( -851439),S.ARVIND,Independent
402,Karnataka,Mandya(20),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,7736,( -844145),NOTA,None of the Above
2237,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUNIL-2024-3015.jpg,won,751671,(+ 188706),SUNIL BOSE,Indian National Congress
2238,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SBAL-2024-3021.jpg,lost,562965,( -188706),BALARAJ.S,Bharatiya Janata Party
2239,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MKRI-2024-20240404092818.jpg,lost,15903,( -735768),M.KRISHNA MURTHY,Bahujan Samaj Party
2240,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CMK-2024-20240408120906.jpg,lost,8089,( -743582),C.M.KRISHNA,Dr. Ambedkar People's Party
2241,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GDR-2024-2808.jpg,lost,3954,( -747717),G.D.RAJAGOPAL (H.D.KOTE),Independent
2242,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUMAS-2024-20240330052227.jpg,lost,3826,( -747845),SUMA.S,Socialist Unity Centre Of India (COMMUNIST)
2243,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAHAD-2024-2759.jpg,lost,3421,( -748250),MAHADEVASWAMY B M (PAMPI),Independent
2244,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HKS-2024-3258.jpg,lost,3208,( -748463),H.K.SWAMY HARADANAHALLI,Independent
2245,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PRADE-2024-20240330052245.jpg,lost,1986,( -749685),PATAS PRADEEP KUMAR.M,Independent
2246,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NAMB-2024-2728.jpg,lost,1743,( -749928),KADAMBA. NAA. AMBARISH,Independent
2247,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NINGA-2024-2443.jpg,lost,1411,( -750260),NINGARAJU.S,Karnataka Jantha Paksha
2248,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAHES-2024-20240330052303.jpg,lost,1252,( -750419),KANDALLI MAHESH,Karnataka Rashtra Samithi
2249,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NINGA-2024-20240404092837.jpg,lost,1247,( -750424),NINGARAJ.G,Independent
2250,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PRASA-2024-20240404093035.jpg,lost,978,( -750693),PRASANNA KUMAR.B,Karnataka Praja Party (RaithaParva)
2251,Karnataka,Chamarajanagar(22),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,8143,( -743528),NOTA,None of the Above
2252,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DRK-2024-20240408102456.jpg,won,822619,(+ 163460),DR.K.SUDHAKAR,Bharatiya Janata Party
2253,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MSRAK-2024-2684.jpg,lost,659159,( -163460),M.S. RAKSHA RAMAIAH,Indian National Congress
2254,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MUNIV-2024-3165.jpg,lost,4557,( -818062),MUNIVENKATAPPA M.P,Communist Party of India  (Marxist)
2255,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAHAD-2024-20240408102037.jpg,lost,4440,( -818179),MAHADEV. P,Bahujan Samaj Party
2256,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAJAN-2024-2631.jpg,lost,3764,( -818855),RAJANNA,Independent
2257,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAJAR-2024-3922.jpg,lost,3381,( -819238),RAJA REDDY,Independent
2258,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KALAV-2024-2843.jpg,lost,2744,( -819875),KALAVATHI. N,Socialist Unity Centre Of India (COMMUNIST)
2259,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VALAS-2024-20240405112040.jpg,lost,2162,( -820457),VALASAPALLI UTAPPA,Independent
2260,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VENKA-2024-3957.jpg,lost,2020,( -820599),VENKATESHMURTHY.V,Uttama Prajaakeeya Party
2261,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DSUDH-2024-3224.jpg,lost,1689,( -820930),D. SUDHAKARA,Independent
2262,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUDHA-2024-20240402045116.jpg,lost,1591,( -821028),SUDHAKAR. N,Independent
2263,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GNRAV-2024-20240408105535.jpg,lost,1465,( -821154),G N RAVI,Independent
2264,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BHASK-2024-20240408101843.jpg,lost,1367,( -821252),BHASKAR ANKALAMADUGU SHIVAREDDY,Independent
2265,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CHAND-2024-2750.jpg,lost,1282,( -821337),CHANDRASHEKAR. H.C,Independent
2266,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MOHIT-2024-3149.jpg,lost,1229,( -821390),MOHITH NARASIMHAMURTHY,Independent
2267,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NARAS-2024-3761.jpg,lost,1218,( -821401),V.N. NARASIMHAMURTHY VADIGERE,Independent
2268,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GNV-2024-20240409043944.jpg,lost,1207,( -821412),G.N. VENKATESH B.A.L.L.B,Independent
2269,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DEVAR-2024-3247.jpg,lost,1177,( -821442),DEVARAJ CORONA WARRIOR,Independent
2270,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GSUBR-2024-20240406044012.jpg,lost,872,( -821747),G SUBRAMANI SHETTY,Karnataka Rashtra Samithi
2271,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RANGA-2024-3125.jpg,lost,857,( -821762),DR. M.R. RANGANATHA,Independent
2272,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NAGES-2024-20240408102900.jpg,lost,850,( -821769),NAGESH. S,Digvijaya Bharatha Party
2273,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/TRNAR-2024-3741.jpg,lost,762,( -821857),T.R. NARAYANA RAO,Indian Labour Party (Ambedkar Phule)
2274,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CVLOK-2024-3685.jpg,lost,701,( -821918),"C.V.  LOKESH GOWDA, B.E",Independent
2275,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DCHI-2024-20240408104529.jpg,lost,619,( -822000),D. CHINNAPPA,Independent
2276,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SANDE-2024-3848.jpg,lost,594,( -822025),SANDESH.G,Independent
2277,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NASUR-2024-20240406014011.jpg,lost,583,( -822036),NASURULLA,Independent
2278,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KVENK-2024-20240401045635.jpg,lost,474,( -822145),K. VENKATESH,Independent
2279,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/TVENK-2024-3724.jpg,lost,440,( -822179),T VENKATA SIVUDU,Independent
2280,Karnataka,Chikkballapur(27),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GNKOD-2024-3899.jpg,lost,401,( -822218),G N. KODANDAREDDY,Independent
2281,Karnataka,Chikkballapur(27),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,6596,( -816023),NOTA,None of the Above
4063,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/TEJAS-2024-20240410040024.jpg,won,750830,(+ 277083),TEJASVI SURYA,Bharatiya Janata Party
4064,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SOWMY-2024-20240403012828.jpg,lost,473747,( -277083),SOWMYA REDDY,Indian National Congress
4065,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ARUNP-2024-4053.jpg,lost,2425,( -748405),ARUN PRASAD.A,Bahujan Samaj Party
4066,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/TINTI-2024-3270.jpg,lost,1968,( -748862),TINTISHA HEMACHANDRA SAGAR,Independent
4067,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VATAL-2024-3823.jpg,lost,1867,( -748963),VATAL NAGARAJ,Kannada Chalavali Vatal Paksha
4068,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KEMPE-2024-20240410040047.jpg,lost,1393,( -749437),KEMPEGOWDA,Navabharath Sena
4069,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/TEJAS-2024-20240402041812.jpg,lost,1150,( -749680),TEJASWINI DHANANJAY,Independent
4070,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BALAK-2024-2706.jpg,lost,1110,( -749720),BALAKRISHNA.M.,Uttama Prajaakeeya Party
4071,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/JAYAP-2024-3024.jpg,lost,942,( -749888),JAYAPAL.D,Independent
4072,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RANJI-2024-3088.jpg,lost,860,( -749970),RANJITH GOWDA,Independent
4073,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VRAJ-2024-20240410035954.jpg,lost,740,( -750090),V.RAJKUMAR VCK,Independent
4074,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAGUP-2024-2468.jpg,lost,738,( -750092),RAGHUPATHI BHAT,Karnataka Rashtra Samithi
4075,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DRHAR-2024-20240410040322.jpg,lost,563,( -750267),DR HARISH GOWDA,Independent
4076,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CHETA-2024-20240402013300.jpg,lost,492,( -750338),CHETAN CHAMAN,Country Citizen Party
4077,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ARAJ-2024-3559.jpg,lost,477,( -750353),A . RAJ.,Independent
4078,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KCJ-2024-20240410040222.jpg,lost,452,( -750378),K. C. JANARDHAN,Independent
4079,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KANTH-2024-20240410040156.jpg,lost,403,( -750427),KANTHAKUMAR.R.,Independent
4080,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MANUJ-2024-3795.jpg,lost,310,( -750520),KARAVALI MANJUNATH. BE,Rashtriya Samaj Dal (R)
4081,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CMSH-2024-20240330021531.jpg,lost,297,( -750533),C M. SHABAZ KHAN,Young Star Empowerment Party
4082,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ASGAR-2024-3113.jpg,lost,269,( -750561),ASGAR A MOHIN.S.M.,Independent
4083,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUBRA-2024-20240401033209.jpg,lost,237,( -750593),SUBRAHMANYA KUMAR KUNTIKANAMATA,Independent
4084,Karnataka,Bangalore South(26),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RSHEK-2024-3292.jpg,lost,215,( -750615),DR.R.SHEKAR THIRUMAVALVAN,Independent
4085,Karnataka,Bangalore South(26),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,7857,( -742973),NOTA,None of the Above
4086,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PCM-2024-20240403123209.jpg,won,658915,(+ 32707),P C MOHAN,Bharatiya Janata Party
4087,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MANSO-2024-3109.jpg,lost,626208,( -32707),MANSOOR ALI KHAN,Indian National Congress
4088,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SATHI-2024-3490.jpg,lost,3087,( -655828),SATISH CHANDRA. M.,Bahujan Samaj Party
4089,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/JAYAL-2024-2493.jpg,lost,2761,( -656154),JAYALAKSHMI SUNDARA RAJAN,Independent
4090,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SURES-2024-3148.jpg,lost,1739,( -657176),SURESH BABU. M. C,Uttama Prajaakeeya Party
4091,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MANJU-2024-20240408044707.jpg,lost,1556,( -657359),K. MANJUNATHA,Independent
4092,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SMKRI-2024-2770.jpg,lost,1474,( -657441),S. M. KRISHNA,Independent
4093,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MURUG-2024-4064.jpg,lost,1162,( -657753),MURUGESH. R,Independent
4094,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/UMAV-2024-3014.jpg,lost,827,( -658088),UMA. V.,Independent
4095,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PRAKA-2024-20240408044615.jpg,lost,779,( -658136),PRAKASH. K,Karnataka Rashtra Samithi
4096,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HPSHI-2024-2452.jpg,lost,707,( -658208),H. P. SHIVAPRAKASH,Socialist Unity Centre Of India (COMMUNIST)
4097,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MODIS-2024-2622.jpg,lost,695,( -658220),MODI SAIFULLA,Independent
4098,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHEEL-2024-4033.jpg,lost,635,( -658280),ABHAYA SHEELA.,Rashtriya Samaj Dal (R)
4099,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KARTH-2024-4143.jpg,lost,601,( -658314),KARTHIK. K,Voters Independent Party
4100,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/TRJAG-2024-3144.jpg,lost,460,( -658455),T.R. JAGANNATHA RAO,Bharatiya Prajagala Kalyana Paksha
4101,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VASAN-2024-2436.jpg,lost,439,( -658476),VASANTH KUMAR ERAPPA,Independent
4102,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHABA-2024-2490.jpg,lost,429,( -658486),C.M. SHABAZ KHAN,Young Star Empowerment Party
4103,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MURUG-2024-4015.jpg,lost,378,( -658537),WHITEFIELD MURUGESH .C,Republican Party of India (Karnataka)
4104,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BKRIS-2024-3022.jpg,lost,327,( -658588),B. KRISHNA PRASAD,"Proutist Bloc, India"
4105,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MUKTH-2024-20240405071507.jpg,lost,314,( -658601),MUKTHAR ALI KHAN,Karnataka Karmikara Paksha
4106,Karnataka,Bangalore central(25),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SYEDA-2024-3457.jpg,lost,286,( -658629),SYED ASIF BUKHARI,Independent
