ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
4357,Karnataka,Hassan(16),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SIDDA-2024-3680.jpg,lost,987,( -672001),SIDDABHOVI,Independent
4358,Karnataka,Hassan(16),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RGSAT-2024-20240328050044.jpg,lost,869,( -672119),R.G. SATHISHA RAMEDEVARAPURA,Independent
4359,Karnataka,Hassan(16),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHIVA-2024-3821.jpg,lost,848,( -672140),SHIVARAJ. B,Republican Party of India Bharatha
4360,Karnataka,Hassan(16),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KRGAN-2024-3068.jpg,lost,742,( -672246),K.R. GANGADHARAPPA,Independent
4361,Karnataka,Hassan(16),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,8541,( -664447),NOTA,None of the Above
4362,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DRPR-2024-20240412022432.jpg,won,633059,(+ 26094),DR. PRABHA MALLIKARJUN,Indian National Congress
4363,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GSG-2024-20240415020558.jpg,lost,606965,( -26094),GAYITHRI SIDDESHWARA,Bharatiya Janata Party
4364,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VINAY-2024-20240412032217.jpg,lost,42907,( -590152),G.B.VINAY KUMAR,Independent
4365,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/TJAB-2024-4464.jpg,lost,5128,( -627931),T.JABEENA AAPA,Independent
4366,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HANUM-2024-4491.jpg,lost,4475,( -628584),D. HANUMANTHAPPA,Bahujan Samaj Party
4367,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/TASLI-2024-5069.jpg,lost,4141,( -628918),TASLIM BANU,Independent
4368,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MTC-2024-5001.jpg,lost,3043,( -630016),T.CHANDRU,Independent
4369,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GMG-2024-6333.jpg,lost,2464,( -630595),G.M.GAYITRI SIDDESHI,Independent
4370,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PARAV-2024-5100.jpg,lost,1869,( -631190),PARAVEEJ.H,Independent
4371,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ESHWA-2024-20240412025619.jpg,lost,1430,( -631629),ESHWARA SHENGA,Uttama Prajaakeeya Party
4372,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/AKG-2024-4657.jpg,lost,1055,( -632004),A.K.GANESH,Independent
4373,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SRINI-2024-6274.jpg,lost,973,( -632086),M.C.SREENIVAS,Bharatiya Prajagala Kalyana Paksha
4374,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/THIPP-2024-20240412014940.jpg,lost,849,( -632210),ANABERU THIPPESWAMY,Socialist Unity Centre Of India (COMMUNIST)
4375,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SYEDJ-2024-5003.jpg,lost,844,( -632215),SYED ZABIULLA.K,Independent
4376,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SALEE-2024-5174.jpg,lost,799,( -632260),SALEEM S,Independent
4377,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MOHAM-2024-4990.jpg,lost,722,( -632337),MOHAMED HAYATH.M,Independent
4378,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ABDUL-2024-5256.jpg,lost,652,( -632407),ABDUL NAZEER AHAMMED,Independent
4379,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RASHE-2024-5148.jpg,lost,600,( -632459),RASHEED KHAN,Independent
4380,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MGS-2024-5013.jpg,lost,561,( -632498),M.G.SRIKANTH,Navabharath Sena
4381,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ATD-2024-4987.jpg,lost,539,( -632520),M.P. KHALANDAR,Country Citizen Party
4382,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PEDDA-2024-5738.jpg,lost,508,( -632551),PEDDAPPA S,Independent
4383,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KSVE-2024-6377.jpg,lost,475,( -632584),K.S. VEERBHADRAPPA,Karnataka Rashtra Samithi
4384,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GMB-2024-6165.jpg,lost,471,( -632588),G.M.BARKATH ALI BASHA,Independent
4385,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VEERE-2024-4682.jpg,lost,458,( -632601),VEERESH.S (LION VEERESH),Rani Chennamma Party
4386,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DODDE-2024-5690.jpg,lost,440,( -632619),DODDESH.H.S,Janahitha Paksha
4387,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BARKA-2024-4709.jpg,lost,411,( -632648),BARKATH ALI,Independent
4388,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MANJU-2024-5209.jpg,lost,378,( -632681),MANJU. MARIKOPPA,Independent
4389,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RUDRE-2024-20240415034707.jpg,lost,348,( -632711),RUDRESHA.K.H,Samaj Vikas Kranti Party
4390,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAVIN-2024-5061.jpg,lost,320,( -632739),RAVINAIK. B,Independent
4391,Karnataka,Davanagere(13),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAHAB-2024-6092.jpg,lost,308,( -632751),MAHABUB BASHA,Independent
4392,Karnataka,Davanagere(13),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,3176,( -629883),NOTA,None of the Above
4393,Karnataka,Bellary(9),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ETUKA-2024-4411.jpg,won,730845,(+ 98992),E. TUKARAM,Indian National Congress
4394,Karnataka,Bellary(9),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BSREE-2024-20240418123945.jpg,lost,631853,( -98992),B. SREERAMULU,Bharatiya Janata Party
4395,Karnataka,Bellary(9),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VALMI-2024-4998.jpg,lost,5911,( -724934),VALMIKI KRISHNAPPA,Bahujan Samaj Party
4396,Karnataka,Bellary(9),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CCHA-2024-20240423121622.jpg,lost,3797,( -727048),C. CHANNAVEERA,Karnataka Rashtra Samithi
4397,Karnataka,Bellary(9),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/YPAM-2024-5005.jpg,lost,2460,( -728385),CONDUCTOR PAMPAPATHI,Independent
4398,Karnataka,Bellary(9),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VEERE-2024-20240420072221.jpg,lost,1870,( -728975),VEERESH,Independent
4399,Karnataka,Bellary(9),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ADEV-2024-4374.jpg,lost,1741,( -729104),A. DEVADAS,Socialist Unity Centre Of India (COMMUNIST)
4400,Karnataka,Bellary(9),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MANJA-2024-4996.jpg,lost,1322,( -729523),MANJUNATHA GOSAL,Prahar Janshakti Party
4401,Karnataka,Bellary(9),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ARUN-2024-20240423115235.jpg,lost,1282,( -729563),ARUN.S.HIREHAL,Independent
4402,Karnataka,Bellary(9),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GSWAM-2024-5963.jpg,lost,944,( -729901),G. SWAMY,Navabharath Sena
4403,Karnataka,Bellary(9),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,7889,( -722956),NOTA,None of the Above
4404,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAJAS-2024-4393.jpg,won,663511,(+ 46357),K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress
4405,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BASAV-2024-4371.jpg,lost,617154,( -46357),DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party
4406,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MALLI-2024-20240416013340.jpg,lost,7314,( -656197),MALLIKARJUN HADAPAD,Independent
4407,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHANK-2024-5169.jpg,lost,7043,( -656468),SHANKARA,Bahujan Samaj Party
4408,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BASAP-2024-5064.jpg,lost,5877,( -657634),KARADI BASAVARAJ,Independent
4409,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RUKMI-2024-20240419043558.jpg,lost,5282,( -658229),RUKMINI,Independent
4410,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SURES-2024-20240423040412.jpg,lost,4642,( -658869),SURESH. GOUDA MUNDINAMANE,Independent
4411,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NAGAR-2024-20240419042334.jpg,lost,1994,( -661517),NAGARAJ KALAL,Independent
4412,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KALAP-2024-5186.jpg,lost,1982,( -661529),KALAPPA YACHRAPPA BADIGER VISHWAKARMA,Independent
4413,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PAYA-2024-20240423040336.jpg,lost,1895,( -661616),PA.YA. GANESH,Independent
4414,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HANAM-2024-4660.jpg,lost,1248,( -662263),HANAMESH . S . H. SHAKHAPUR,Independent
4415,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KARIM-2024-20240419030020.jpg,lost,1238,( -662273),KAREEMPASHA GACHCHINMANI.,Independent
4416,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GANOJ-2024-5118.jpg,lost,1117,( -662394),ANNOJI RAO. G,Sarva Janata Party
4417,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHARA-2024-4373.jpg,lost,1106,( -662405),SHARANAPPA,Socialist Unity Centre Of India (COMMUNIST)
4418,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NIRUP-2024-4511.jpg,lost,900,( -662611),NIRUPADI K GOMARSI,Karnataka Rashtra Samithi
4419,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAMZA-2024-5800.jpg,lost,806,( -662705),RAMZANBEE,All India Ulama Congress
4420,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DDURG-2024-20240423040258.jpg,lost,799,( -662712),D DURGA PRASAD BYATARAYANAJI,Challengers Party
4421,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHARA-2024-5881.jpg,lost,776,( -662735),C. SHARANA BASAPPA,Republican Party of India (Karnataka)
4422,Karnataka,Koppal(8),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/IMAMS-2024-4702.jpg,lost,733,( -662778),IMAMSAB JANGLISAB MULLA,Independent
4423,Karnataka,Koppal(8),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,3519,( -659992),NOTA,None of the Above
4424,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SAGAR-2024-20240420045508.jpg,won,666317,(+ 128875),SAGAR ESHWAR KHANDRE,Indian National Congress
4425,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BHAGW-2024-20240423020605.jpg,lost,537442,( -128875),BHAGWANTH KHUBA,Bharatiya Janata Party
4426,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/AMBAD-2024-20240423021122.jpg,lost,5302,( -661015),AMBADAS SOPANRAO HULSURE,Bahujan Bharat Party
4427,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PUTAR-2024-20240422065843.jpg,lost,4554,( -661763),PUTARAJ,Bahujan Samaj Party
4428,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DRDI-2024-20240422073227.jpg,lost,4116,( -662201),DR. DINKAR MORE,Independent
4429,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ROPH-2024-5358.jpg,lost,3104,( -663213),SRI ROPH ABDUL GANI,Independent
4430,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHIVR-2024-20240422074432.jpg,lost,3079,( -663238),SHIVRAJ ADIVEPPA SATWAR,Independent
4431,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAMVI-2024-20240422073752.jpg,lost,2694,( -663623),RAMVILAS RAMULALJI NAVANDAR,Independent
4432,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RIYAZ-2024-4510.jpg,lost,1711,( -664606),RIYAZ AHMED,Independent
4433,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MOHDS-2024-4752.jpg,lost,1694,( -664623),MOHD. SHAFEEQ UR RAHAMAN,All India Ulama Congress
4434,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/JAIRA-2024-4731.jpg,lost,1493,( -664824),JAIRAJ KASHAPPA BUKKA ADVOCATE,Independent
4435,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BALBH-2024-5009.jpg,lost,1470,( -664847),BALBHEEM UNNE,Independent
4436,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/WASEE-2024-20240420050244.jpg,lost,1170,( -665147),WASEEMUDDIN,Independent
4437,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAHES-2024-20240423021221.jpg,lost,981,( -665336),MAHESH GORNALKAR,Republican Party of India (A)
4438,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DILIP-2024-20240422073342.jpg,lost,798,( -665519),DILIP KADWAD,Independent
4439,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GOPAL-2024-20240422071904.jpg,lost,767,( -665550),GOPAL M.P. GARAMPALLI,Independent
4440,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAMES-2024-20240422071609.jpg,lost,472,( -665845),RAMESH J CHAVAN,Karnataka Rashtra Samithi
4441,Karnataka,Bidar(7),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAMCH-2024-20240420045826.jpg,lost,472,( -665845),RAMCHANDRA NARAYAN KACHAVE,Kranti Kari Jai Hind Sena
4442,Karnataka,Bidar(7),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,4686,( -661631),NOTA,None of the Above
4443,Karnataka,Raichur(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GKUMA-2024-5023.jpg,won,670966,(+ 79781),G. KUMAR NAIK.,Indian National Congress
4444,Karnataka,Raichur(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAJAA-2024-20240415021352.jpg,lost,591185,( -79781),RAJA AMARESHWARA NAIK.,Bharatiya Janata Party
4445,Karnataka,Raichur(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NARAS-2024-20240422052731.jpg,lost,9289,( -661677),S. NARASANNA GOUDA NAYAKA,Bahujan Samaj Party
4446,Karnataka,Raichur(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BASAV-2024-4723.jpg,lost,5181,( -665785),BASAVA PRABHU. MEDA,Karnataka Rashtra Samithi
4447,Karnataka,Raichur(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/AMARE-2024-20240422053254.jpg,lost,4465,( -666501),AMARESH,Independent
4448,Karnataka,Raichur(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/YALLA-2024-20240422052705.jpg,lost,3634,( -667332),YALLAMMA DALAPATHI,Independent
4449,Karnataka,Raichur(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHAMR-2024-20240412035506.jpg,lost,2640,( -668326),MEDHAR SHAMRAO,Bhartiya Jan Samrat Party
4450,Karnataka,Raichur(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAMAL-2024-20240422052606.jpg,lost,2409,( -668557),RAMALINGAPPA,Socialist Unity Centre Of India (COMMUNIST)
4451,Karnataka,Raichur(6),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,9850,( -661116),NOTA,None of the Above
4452,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RADHA-2024-4366.jpg,won,652321,(+ 27205),RADHAKRISHNA,Indian National Congress
4453,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/UMESH-2024-4376.jpg,lost,625116,( -27205),DR. UMESH G JADHAV,Bharatiya Janata Party
4454,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HUCCH-2024-5234.jpg,lost,7888,( -644433),HUCHESHWARA WATHAR GOUR,Bahujan Samaj Party
4455,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUNDE-2024-5924.jpg,lost,3677,( -648644),SUNDAR,Independent
4456,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/JYOTI-2024-5877.jpg,lost,2805,( -649516),JYOTI RAMESH CHAVAN,Independent
4457,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHARA-2024-5723.jpg,lost,1884,( -650437),SHARANAPPA (PINTU),Independent
4458,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/1712971574TarabaiBhovi.jpg,lost,1550,( -650771),TARABAI BHOVI,Independent
4459,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAMES-2024-4485.jpg,lost,1334,( -650987),RAMESH BHIMSING CHAVAN,Independent
4460,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ANAND-2024-5159.jpg,lost,1280,( -651041),ANAND SINNUR,Independent
4461,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NAGEN-2024-5008.jpg,lost,1226,( -651095),NAGENDRA RAO,Uttama Prajaakeeya Party
4462,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHARA-2024-4453.jpg,lost,1144,( -651177),S.M.SHARMA,Socialist Unity Centre Of India (COMMUNIST)
4463,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAJKU-2024-5016.jpg,lost,709,( -651612),RAJKUMAR,BhartiyaBahujanKranti Dal
4464,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VIJAY-2024-5012.jpg,lost,560,( -651761),VIJAY JADHAV,Karnataka Rashtra Samithi
4465,Karnataka,Gulbarga(5),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VIJAY-2024-4474.jpg,lost,554,( -651767),B. VIJAYKUMAR CHINCHANSOORKAR,Prahar Janshakti Party
4466,Karnataka,Gulbarga(5),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,8429,( -643892),NOTA,None of the Above
4467,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PRIYA-2024-5347.jpg,won,713461,(+ 90834),PRIYANKA SATISH JARKIHOLI,Indian National Congress
4468,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ANNAS-2024-20240422071042.jpg,lost,622627,( -90834),ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party
4469,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHAMB-2024-4401.jpg,lost,25466,( -687995),KALLOLIKAR SHAMBHU KRISHNA,Independent
4470,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SAMME-2024-4804.jpg,lost,5353,( -708108),SAMMED SARADAR VARDHAMANE,Independent
4471,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHREN-2024-6271.jpg,lost,5181,( -708280),SHRENIK ANNASAHEB JANGATE,Independent
4472,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/APPAS-2024-20240422071008.jpg,lost,4654,( -708807),APPASAHEB SHRIPATI KURANE,Sarva Janata Party
4473,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VILAS-2024-4492.jpg,lost,4150,( -709311),VILAS MANNUR,Independent
4474,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SATTE-2024-6263.jpg,lost,1319,( -712142),SATTEPPA DASHARATH KALELI,Bharatheeya Jawan Kisan Party
4475,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/YASEE-2024-6294.jpg,lost,1281,( -712180),YASIN SHIRAJUDDIN PATAKI,Independent
4476,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KASHI-2024-5381.jpg,lost,1108,( -712353),KASHINATH KALLAPPA KURANI,Independent
4477,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAHES-2024-5372.jpg,lost,1009,( -712452),MAHESH ASHOK KASAR,Independent
4478,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MOHAN-2024-4396.jpg,lost,946,( -712515),MOHAN GURAPPA MOTANNAVAR,Independent
4479,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KUMAR-2024-4800.jpg,lost,941,( -712520),KUMAR SAMBHAJI DONGARE,Karnataka Rashtra Samithi
4480,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PAVAN-2024-6233.jpg,lost,666,( -712795),PAVANKUMAR BABURAV MALAGE,Bahujan Bharat Party
4481,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KADAY-2024-5028.jpg,lost,647,( -712814),DR|| KADAYYA HIREMATH (SWAMIJI),Independent
4482,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BHIMA-2024-5031.jpg,lost,619,( -712842),BHIMASEN DATTU SANADI,Independent
4483,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GAJAN-2024-5365.jpg,lost,600,( -712861),GAJANAN L. PUJARI,Independent
4484,Karnataka,Chikkodi(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/JITEN-2024-5402.jpg,lost,457,( -713004),JITENDRA SUBHASH NERLE,Independent
4485,Karnataka,Chikkodi(1),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,2608,( -710853),NOTA,None of the Above
